file_name,family,apk_size,permission_count,api_count,opcode_count,intent_count
d0acaf8f89da5c603e0b0cdda2be6f90cb70ee32dc07475ce1b1c8922bca2f81.7d5e0e38fbe531ebdd8fdc9359110468,Adware,1816754.0,12.0,166.0,3000.0,7.0
0205136af07d6b952b908dfbcfe6cf9da68eb4931d4ca34ede9a2f22c3024f19.4556f46edcefe6027df5395dc00dafa2,Adware,1435974.0,7.0,215.0,3000.0,1.0
d6105f41bf2e15af783d594a05c6140ba37df0994fd3f8b4f40646b9cb5a81a9.0f070f287d65d9a1cc0be667a9a3d0e5,Adware,820510.0,7.0,926.0,3000.0,1.0
749275d9fc7ecedfb97468a8547b8be0da7942ea92645237756a92f1862094e1.7ba48878a2305f985632c78f78814bb5,Adware,476799.0,18.0,1320.0,3000.0,20.0
42b59df1e2f169edd662ef1cc8aeb64c337d3dc1ae4ba5d95af14efc101a34cb.8a5e9061888e2e859c513d4761a8b72c,Adware,500887.0,7.0,654.0,3000.0,1.0
fa370a0386c76690f6419d1c765b6a4eeca85f1e727a4344df8d1f53f71b1e32.1ae00cdd8a960fcefe5518dc9d678869,Adware,3177946.0,31.0,2367.0,3000.0,29.0
18f294ad0e2941f961b387b1d860043bb7d855ec3c3dc9fecc3f9ee2b89d214b.6bd77595961d0b4797d72b3085e76935,Adware,1712135.0,8.0,888.0,3000.0,1.0
d335c6dd5dc0fd978ea8a5db7c30bc443083d45ed15308b23f469254f1630ea4.6d9a7979211767ea6bbdb2eaa4856f9d,Adware,2170653.0,10.0,148.0,3000.0,6.0
ddd4c93f5078029b434934db45823f7e567ec1c0d515d20c1071bd86bc62ed02.329b5b67329168ed4ad1e2b172a14dc5,Adware,1073314.0,8.0,1157.0,3000.0,1.0
66ccc9172faf81cd350a2e427865d21cf77ab39658d57328e1a9dddc1b63d6aa.9f8ba81d6d41e6e787332cac8df70857,Adware,698990.0,5.0,61.0,3000.0,6.0
b2a4c955131de3aef729ec64a997c2b8552b780f14672cfd303be77d0ae394e3.99d664404a3640b1ab604816a6112ef8,Adware,1781723.0,14.0,641.0,3000.0,4.0
3fd90bba151c2d39d8dc29bae000cddd72a63188401c3ca176ad7664a6a74e56.a9128accbbd34915e6426895b17e2e48,Adware,836367.0,22.0,609.0,3000.0,9.0
e2ba9ac0a217d6586aa78335df42a7d6cb78ac8514149637a9be01af6b8fc305.4e38b2f7a454f50da699046c4b9b4786,Adware,703986.0,5.0,61.0,3000.0,6.0
6dd907a1119fdf844b074cde4c8466756230cc8209f3ac64bdf847484f01df9c.d9cf8469307e0ccf0ab4d2a4d26b23a9,Adware,1740132.0,13.0,880.0,3000.0,8.0
30c3b433de3ab13060921d75d20eb1aeda4f6524ae6c0538b2b86b2e2392660f.b48e06e682a820628b3851ee75613e45,Adware,1286054.0,7.0,153.0,3000.0,1.0
